puzzleNum,puzzleMod10,puzzleMod5,logPuzzle,sqrtPuzzle,puzzleSquared,logRangeSize,yearSolved,monthSolved,prevSolvedCount,avgPositionPrev,positionInRange
1,1,1,0.6931471805599453,1.0,1,0.0,2015,1,0,50.0,0.0
2,2,2,1.0986122886681098,1.4142135623730951,4,0.6931471805599453,2015,1,1,0.0,50.0
3,3,3,1.3862943611198906,1.7320508075688772,9,1.3862943611198906,2015,1,2,25.0,75.0
4,4,4,1.6094379124341003,2.0,16,2.0794415416798357,2015,1,3,41.666666666666664,0.0
5,5,0,1.791759469228055,2.23606797749979,25,2.772588722239781,2015,1,4,31.25,31.25
6,6,1,1.9459101490553132,2.449489742783178,36,3.4657359027997265,2015,1,5,31.25,53.125
7,7,2,2.0794415416798357,2.6457513110645907,49,4.1588830833596715,2015,1,6,34.895833333333336,18.75
8,8,3,2.1972245773362196,2.8284271247461903,64,4.852030263919617,2015,1,7,32.589285714285715,75.0
9,9,4,2.302585092994046,3.0,81,5.545177444479562,2015,1,8,37.890625,82.421875
10,0,0,2.3978952727983707,3.1622776601683795,100,6.238324625039508,2015,1,9,42.838541666666664,0.390625
11,1,1,2.4849066497880004,3.3166247903554,121,6.931471805599453,2015,1,10,38.59375,12.79296875
12,2,2,2.5649493574615367,3.4641016151377544,144,7.6246189861593985,2015,1,11,36.24822443181818,31.005859375
13,3,3,2.6390573296152584,3.605551275463989,169,8.317766166719343,2015,1,12,35.811360677083336,27.34375
14,4,4,2.70805020110221,3.7416573867739413,196,9.010913347279288,2015,1,13,35.16000600961539,28.7109375
15,5,0,2.772588722239781,3.872983346207417,225,9.704060527839234,2015,1,14,34.69935825892857,63.983154296875
16,6,1,2.833213344056216,4.0,256,10.39720770839918,2015,1,15,36.651611328125,57.196044921875
17,7,2,2.8903717578961645,4.123105625617661,289,11.090354888959125,2015,1,16,37.935638427734375,46.21429443359375
18,8,3,2.9444389791664403,4.242640687119285,324,11.78350206951907,2015,1,17,38.422618192784924,51.572418212890625
19,9,4,2.995732273553991,4.358898943540674,361,12.476649250079015,2015,1,18,39.15316263834635,36.38877868652344
20,0,0,3.044522437723423,4.47213595499958,400,13.16979643063896,2015,1,19,39.00766874614515,64.6646499633789
21,1,1,3.091042453358316,4.58257569495584,441,13.862943611198906,2015,1,20,40.290517807006836,72.78327941894531
22,2,2,3.1354942159291497,4.69041575982343,484,14.556090791758852,2015,1,21,41.837792169480096,43.408918380737305
23,3,3,3.1780538303479458,4.795831523312719,529,15.249237972318797,2015,1,22,41.90920699726451,33.48584175109863
24,4,4,3.2188758248682006,4.898979485566356,576,15.942385152878742,2015,1,23,41.542973725692086,72.00322151184082
25,5,0,3.258096538021482,5.0,625,16.635532333438686,2015,1,24,42.812150716781616,97.80104756355286
26,6,1,3.295836866004329,5.0990195135927845,676,17.328679513998633,2015,1,25,45.011706590652466,62.538474798202515
27,7,2,3.332204510175204,5.196152422706632,729,18.021826694558577,2015,1,26,45.68581306017362,66.81841164827347
